RefKey,MD5
base_ALL_LOGICAL_0-23_N8192_P2_A1_RS1,3e4a928838c5cf44c7f95ce031ac416e
base_ALL_LOGICAL_0-23_N8192_P4_A1_RS1,7f79fa5ce42f31f8f1fd1356944c8fc7
base_ALL_LOGICAL_0-23_N8192_P8_A1_RS1,eb5971182384099c2b4d08c5e3c8a0a2
base_ALL_LOGICAL_0-23_N8192_P16_A1_RS1,5a9f0b26c2ee38ce532b64272163bffc
base_ALL_LOGICAL_0-23_N8192_P24_A1_RS1,1de9ada6623bb6e9fbae47c2ac8bbb59
base_P_ONLY_PHYSICAL_0+2+4+6+8+10+12+14_N10240_P1_A1_RS1,34b0331b2f4c4f1287c8c2789dc15995
base_P_ONLY_PHYSICAL_0+2+4+6+8+10+12+14_N10240_P2_A1_RS1,4c56eacd9a8e0001024f3da39a5fc90f
base_P_ONLY_PHYSICAL_0+2+4+6+8+10+12+14_N10240_P4_A1_RS1,a4d0d4aef2746e72429273799684d0d3
base_P_ONLY_PHYSICAL_0+2+4+6+8+10+12+14_N10240_P8_A1_RS1,9b2edbfc530889573fb6490bc90ced82
base_P_ONLY_HT_0-15_N10240_P1_A1_RS1,34b0331b2f4c4f1287c8c2789dc15995
base_P_ONLY_HT_0-15_N10240_P2_A1_RS1,4c56eacd9a8e0001024f3da39a5fc90f
base_P_ONLY_HT_0-15_N10240_P4_A1_RS1,a4d0d4aef2746e72429273799684d0d3
base_P_ONLY_HT_0-15_N10240_P8_A1_RS1,9b2edbfc530889573fb6490bc90ced82
base_P_ONLY_HT_0-15_N10240_P16_A1_RS1,6368205eae35a03ce722568c7c180693
base_E_ONLY_16-23_N10240_P1_A1_RS1,34b0331b2f4c4f1287c8c2789dc15995
base_E_ONLY_16-23_N10240_P2_A1_RS1,4c56eacd9a8e0001024f3da39a5fc90f
base_E_ONLY_16-23_N10240_P4_A1_RS1,a4d0d4aef2746e72429273799684d0d3
base_E_ONLY_16-23_N10240_P8_A1_RS1,9b2edbfc530889573fb6490bc90ced82
base_P_PLUS_E_PHYSICAL_0+2+4+6+8+10+12+14+16-23_N10240_P1_A1_RS1,34b0331b2f4c4f1287c8c2789dc15995
base_P_PLUS_E_PHYSICAL_0+2+4+6+8+10+12+14+16-23_N10240_P2_A1_RS1,4c56eacd9a8e0001024f3da39a5fc90f
base_P_PLUS_E_PHYSICAL_0+2+4+6+8+10+12+14+16-23_N10240_P4_A1_RS1,a4d0d4aef2746e72429273799684d0d3
base_P_PLUS_E_PHYSICAL_0+2+4+6+8+10+12+14+16-23_N10240_P8_A1_RS1,9b2edbfc530889573fb6490bc90ced82
base_P_PLUS_E_PHYSICAL_0+2+4+6+8+10+12+14+16-23_N10240_P16_A1_RS1,6368205eae35a03ce722568c7c180693
base_ALL_LOGICAL_0-23_N10240_P1_A1_RS1,34b0331b2f4c4f1287c8c2789dc15995
base_ALL_LOGICAL_0-23_N10240_P2_A1_RS1,4c56eacd9a8e0001024f3da39a5fc90f
base_ALL_LOGICAL_0-23_N10240_P4_A1_RS1,a4d0d4aef2746e72429273799684d0d3
base_ALL_LOGICAL_0-23_N10240_P8_A1_RS1,9b2edbfc530889573fb6490bc90ced82
base_ALL_LOGICAL_0-23_N10240_P16_A1_RS1,6368205eae35a03ce722568c7c180693
base_ALL_LOGICAL_0-23_N10240_P24_A1_RS1,b71b102a427480793cb31dbc34490313
base_P_ONLY_PHYSICAL_0+2+4+6+8+10+12+14_N12288_P1_A1_RS1,a59ab6fadcb81958979e0d31fee217c5
base_P_ONLY_PHYSICAL_0+2+4+6+8+10+12+14_N12288_P2_A1_RS1,42afc812968ede3776bdaed41f87834f
base_P_ONLY_PHYSICAL_0+2+4+6+8+10+12+14_N12288_P4_A1_RS1,667cf5c7fb11ddaa97bc224bb680c9b7
base_P_ONLY_PHYSICAL_0+2+4+6+8+10+12+14_N12288_P8_A1_RS1,a3a6d34dc6fee67ee05b7a15561bf607
base_P_ONLY_HT_0-15_N12288_P1_A1_RS1,a59ab6fadcb81958979e0d31fee217c5
base_P_ONLY_HT_0-15_N12288_P2_A1_RS1,42afc812968ede3776bdaed41f87834f
base_P_ONLY_HT_0-15_N12288_P4_A1_RS1,667cf5c7fb11ddaa97bc224bb680c9b7
base_P_ONLY_HT_0-15_N12288_P8_A1_RS1,a3a6d34dc6fee67ee05b7a15561bf607
base_P_ONLY_HT_0-15_N12288_P16_A1_RS1,014d2e60ff0f7317f28e4e7fd23caba5
base_E_ONLY_16-23_N12288_P1_A1_RS1,a59ab6fadcb81958979e0d31fee217c5
base_E_ONLY_16-23_N12288_P2_A1_RS1,42afc812968ede3776bdaed41f87834f
base_E_ONLY_16-23_N12288_P4_A1_RS1,667cf5c7fb11ddaa97bc224bb680c9b7
