Matrix_Size_N,CUDA_Version,Kernel_Method,Optimization_Class,Numeric_Format,Thread_Block_Config,Shared_K_Step,Elapsed_Time_s,Measured_GFLOPS,Baseline_NaiveCUDA_Time_s,Speedup_vs_NaiveCUDA,Configuration_Details,BestSeq_Time_s_Exact,BestSeq_Source_Exact,Speedup_vs_BestSeq_Exact,BestSeq_Time_s_AllN,BestSeq_Baseline_Status,BestSeq_Source_AllN,Speedup_vs_BestSeq_AllN,Config_Label
6144,version5_tiled_shared_f64,Shared Memory Tiled Kernel,Shared Memory,FP64,16x16,16,1.946007,238.363,2.632401,1.352719,"block=16x16, stagek=16, FP64",8.84394,icx -O3 Ultimate,4.54466,8.84394,Exact,icx -O3 Ultimate,4.54466,"16x16, StageK=16"
8192,version5_tiled_shared_f64,Shared Memory Tiled Kernel,Shared Memory,FP64,16x16,16,4.718378,233.027,6.281164,1.331213,"block=16x16, stagek=16, FP64",44.16918,icx -O3 Ultimate,9.361094,44.16918,Exact,icx -O3 Ultimate,9.361094,"16x16, StageK=16"
10240,version5_tiled_shared_f64,Shared Memory Tiled Kernel,Shared Memory,FP64,16x16,16,9.658116,222.35,12.782178,1.323465,"block=16x16, stagek=16, FP64",40.857508,icx -O3 Align,4.230381,40.857508,Exact,icx -O3 Align,4.230381,"16x16, StageK=16"
12288,version5_tiled_shared_f64,Shared Memory Tiled Kernel,Shared Memory,FP64,32x32,16,18.110471,204.901,25.228928,1.393058,"block=32x32, stagek=16, FP64",132.828198,icx -O3 Tiling tile=32,7.334332,132.828198,Exact,icx -O3 Tiling tile=32,7.334332,"32x32, StageK=16"
15000,version5_tiled_shared_f64,Shared Memory Tiled Kernel,Shared Memory,FP64,32x32,16,33.23951,203.072,52.49193,1.579203,"block=32x32, stagek=16, FP64",,,,241.613085,Estimated,Estimated by cubic scaling from N=12288 (icx -O3 Tiling tile=32),7.268852,"32x32, StageK=16"
16400,version5_tiled_shared_f64,Shared Memory Tiled Kernel,Shared Memory,FP64,32x32,16,43.330062,203.597,65.043125,1.501109,"block=32x32, stagek=16, FP64",,,,315.775344,Estimated,Estimated by cubic scaling from N=12288 (icx -O3 Tiling tile=32),7.287673,"32x32, StageK=16"
