RefKey,MD5
base_ALL_LOGICAL_0-23_N8192_P16_A1_RS1,5a9f0b26c2ee38ce532b64272163bffc
base_ALL_LOGICAL_0-23_N8192_P24_A1_RS1,1de9ada6623bb6e9fbae47c2ac8bbb59
base_P_ONLY_PHYSICAL_0+2+4+6+8+10+12+14_N10240_P1_A1_RS1,34b0331b2f4c4f1287c8c2789dc15995
base_P_ONLY_PHYSICAL_0+2+4+6+8+10+12+14_N10240_P2_A1_RS1,4c56eacd9a8e0001024f3da39a5fc90f
base_P_ONLY_PHYSICAL_0+2+4+6+8+10+12+14_N10240_P4_A1_RS1,a4d0d4aef2746e72429273799684d0d3
base_P_ONLY_PHYSICAL_0+2+4+6+8+10+12+14_N10240_P8_A1_RS1,9b2edbfc530889573fb6490bc90ced82
base_P_ONLY_HT_1+3+5+7+9+11+13+15_N10240_P1_A1_RS1,34b0331b2f4c4f1287c8c2789dc15995
base_P_ONLY_HT_1+3+5+7+9+11+13+15_N10240_P2_A1_RS1,4c56eacd9a8e0001024f3da39a5fc90f
base_P_ONLY_HT_1+3+5+7+9+11+13+15_N10240_P4_A1_RS1,a4d0d4aef2746e72429273799684d0d3
base_P_ONLY_HT_1+3+5+7+9+11+13+15_N10240_P8_A1_RS1,9b2edbfc530889573fb6490bc90ced82
base_E_ONLY_16-23_N10240_P1_A1_RS1,34b0331b2f4c4f1287c8c2789dc15995
base_E_ONLY_16-23_N10240_P2_A1_RS1,4c56eacd9a8e0001024f3da39a5fc90f
base_E_ONLY_16-23_N10240_P4_A1_RS1,a4d0d4aef2746e72429273799684d0d3
base_E_ONLY_16-23_N10240_P8_A1_RS1,9b2edbfc530889573fb6490bc90ced82
base_P_PLUS_E_PHYSICAL_0+2+4+6+8+10+12+14+16-23_N10240_P1_A1_RS1,34b0331b2f4c4f1287c8c2789dc15995
base_P_PLUS_E_PHYSICAL_0+2+4+6+8+10+12+14+16-23_N10240_P2_A1_RS1,4c56eacd9a8e0001024f3da39a5fc90f
base_P_PLUS_E_PHYSICAL_0+2+4+6+8+10+12+14+16-23_N10240_P4_A1_RS1,a4d0d4aef2746e72429273799684d0d3
