ProcessorModel,Toolchain,OptimizationFlags,MatrixOrder,WorldRanks,BlockCyclicTile,AlignedAlloc,RestrictQual,Elapsed_s,GFLOPS,Speedup,Efficiency_pct
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicx","-O3 -xHost",15000,16,128,1,1,18.090249,373.129,5.967,37.29
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicx","-O3 -xHost",15000,24,128,1,1,13.269614,508.681,8.134,33.89
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicc","-O3 -xHost",6144,1,32,1,1,7.441308,62.335,1.000,100.00
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicc","-O3 -xHost",6144,2,32,1,1,4.036137,114.926,1.844,92.20
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicc","-O3 -xHost",6144,4,32,1,1,2.329728,199.103,3.194,79.85
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicc","-O3 -xHost",6144,8,32,1,1,2.512340,184.631,2.962,37.03
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicc","-O3 -xHost",6144,16,32,1,1,2.439280,190.161,3.051,19.07
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicc","-O3 -xHost",6144,24,32,1,1,2.163764,214.375,3.439,14.33
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicc","-O3 -xHost",8192,1,32,1,1,17.611247,62.432,1.000,100.00
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicc","-O3 -xHost",8192,2,32,1,1,10.945159,100.456,1.609,80.45
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicc","-O3 -xHost",8192,4,32,1,1,6.722003,163.569,2.620,65.50
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicc","-O3 -xHost",8192,8,32,1,1,5.255459,209.213,3.351,41.89
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicc","-O3 -xHost",8192,16,32,1,1,5.307964,207.144,3.318,20.74
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicc","-O3 -xHost",8192,24,32,1,1,5.434745,202.312,3.240,13.50
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicc","-O3 -xHost",10240,1,32,1,1,34.399886,62.427,1.000,100.00
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicc","-O3 -xHost",10240,2,32,1,1,19.306413,111.232,1.782,89.10
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicc","-O3 -xHost",10240,4,32,1,1,10.648828,201.664,3.230,80.75
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicc","-O3 -xHost",10240,8,32,1,1,11.715895,183.297,2.936,36.70
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicc","-O3 -xHost",10240,16,32,1,1,11.056853,194.222,3.111,19.44
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicc","-O3 -xHost",10240,24,32,1,1,11.386136,188.605,3.021,12.59
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicc","-O3 -xHost",12288,1,32,1,1,59.300452,62.577,1.000,100.00
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicc","-O3 -xHost",12288,2,32,1,1,32.668927,113.590,1.815,90.75
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicc","-O3 -xHost",12288,4,32,1,1,19.180547,193.470,3.092,77.30
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicc","-O3 -xHost",12288,8,32,1,1,16.956455,218.846,3.497,43.71
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicc","-O3 -xHost",12288,16,32,1,1,17.218261,215.518,3.444,21.52
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicc","-O3 -xHost",12288,24,32,1,1,17.582638,211.052,3.373,14.05
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicc","-O3 -xHost",15000,1,32,1,1,107.991230,62.505,1.000,100.00
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicc","-O3 -xHost",15000,2,32,1,1,60.776779,111.062,1.777,88.85
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicc","-O3 -xHost",15000,4,32,1,1,35.494741,190.169,3.042,76.05
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicc","-O3 -xHost",15000,8,32,1,1,32.776748,205.939,3.295,41.19
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicc","-O3 -xHost",15000,16,32,1,1,32.503811,207.668,3.322,20.76
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicc","-O3 -xHost",15000,24,32,1,1,36.248192,186.216,2.979,12.41
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicc","-O3 -xHost",6144,1,64,1,1,7.502938,61.823,1.000,100.00
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicc","-O3 -xHost",6144,2,64,1,1,4.368343,106.186,1.718,85.90
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicc","-O3 -xHost",6144,4,64,1,1,2.393102,193.831,3.135,78.38
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicc","-O3 -xHost",6144,8,64,1,1,1.879853,246.751,3.991,49.89
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicc","-O3 -xHost",6144,16,64,1,1,1.503222,308.575,4.991,31.19
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicc","-O3 -xHost",6144,24,64,1,1,1.590055,291.724,4.719,19.66
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicc","-O3 -xHost",8192,1,64,1,1,17.613035,62.426,1.000,100.00
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicc","-O3 -xHost",8192,2,64,1,1,10.399442,105.728,1.694,84.70
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicc","-O3 -xHost",8192,4,64,1,1,5.716607,192.336,3.081,77.03
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicc","-O3 -xHost",8192,8,64,1,1,3.934450,279.458,4.477,55.96
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicc","-O3 -xHost",8192,16,64,1,1,3.361776,327.063,5.239,32.74
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicc","-O3 -xHost",8192,24,64,1,1,3.121532,352.235,5.642,23.51
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicc","-O3 -xHost",10240,1,64,1,1,34.389884,62.445,1.000,100.00
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicc","-O3 -xHost",10240,2,64,1,1,20.394723,105.296,1.686,84.30
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicc","-O3 -xHost",10240,4,64,1,1,10.967238,195.809,3.136,78.40
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicc","-O3 -xHost",10240,8,64,1,1,8.280991,259.327,4.153,51.91
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicc","-O3 -xHost",10240,16,64,1,1,6.571808,326.772,5.233,32.71
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicc","-O3 -xHost",10240,24,64,1,1,6.803674,315.636,5.055,21.06
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicc","-O3 -xHost",12288,1,64,1,1,59.417820,62.454,1.000,100.00
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicc","-O3 -xHost",12288,2,64,1,1,35.020772,105.961,1.697,84.85
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicc","-O3 -xHost",12288,4,64,1,1,19.211578,193.157,3.093,77.33
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicc","-O3 -xHost",12288,8,64,1,1,12.852621,288.723,4.623,57.79
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicc","-O3 -xHost",12288,16,64,1,1,10.835158,342.482,5.484,34.27
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicc","-O3 -xHost",12288,24,64,1,1,10.893253,340.656,5.455,22.73
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicc","-O3 -xHost",15000,1,64,1,1,107.938223,62.536,1.000,100.00
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicc","-O3 -xHost",15000,2,64,1,1,60.681060,111.237,1.779,88.95
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicc","-O3 -xHost",15000,4,64,1,1,31.995474,210.967,3.374,84.35
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicc","-O3 -xHost",15000,8,64,1,1,21.029531,320.977,5.133,64.16
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicc","-O3 -xHost",15000,16,64,1,1,19.653465,343.451,5.492,34.33
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicc","-O3 -xHost",15000,24,64,1,1,19.279334,350.116,5.599,23.33
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicc","-O3 -xHost",6144,1,128,1,1,7.442949,62.322,1.000,100.00
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicc","-O3 -xHost",6144,2,128,1,1,3.950391,117.420,1.884,94.20
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicc","-O3 -xHost",6144,4,128,1,1,2.092948,221.628,3.556,88.90
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicc","-O3 -xHost",6144,8,128,1,1,1.468046,315.969,5.070,63.38
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicc","-O3 -xHost",6144,16,128,1,1,1.331455,348.383,5.590,34.94
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicc","-O3 -xHost",6144,24,128,1,1,1.061556,436.959,7.011,29.21
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicc","-O3 -xHost",8192,1,128,1,1,17.613922,62.423,1.000,100.00
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicc","-O3 -xHost",8192,2,128,1,1,9.534606,115.318,1.847,92.35
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicc","-O3 -xHost",8192,4,128,1,1,4.771220,230.447,3.692,92.30
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicc","-O3 -xHost",8192,8,128,1,1,3.272994,335.935,5.382,67.27
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicc","-O3 -xHost",8192,16,128,1,1,3.053719,360.057,5.768,36.05
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicc","-O3 -xHost",8192,24,128,1,1,3.219146,341.554,5.472,22.80
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicc","-O3 -xHost",10240,1,128,1,1,34.496038,62.253,1.000,100.00
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicc","-O3 -xHost",10240,2,128,1,1,18.086265,118.736,1.907,95.35
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicc","-O3 -xHost",10240,4,128,1,1,9.287365,231.226,3.714,92.85
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicc","-O3 -xHost",10240,8,128,1,1,6.023873,356.496,5.727,71.59
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicc","-O3 -xHost",10240,16,128,1,1,5.875347,365.508,5.871,36.69
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicc","-O3 -xHost",10240,24,128,1,1,4.690414,457.845,7.355,30.65
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicc","-O3 -xHost",12288,1,128,1,1,59.286001,62.592,1.000,100.00
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicc","-O3 -xHost",12288,2,128,1,1,31.451954,117.985,1.885,94.25
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicc","-O3 -xHost",12288,4,128,1,1,15.863367,233.926,3.737,93.42
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicc","-O3 -xHost",12288,8,128,1,1,9.288750,399.500,6.383,79.79
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicc","-O3 -xHost",12288,16,128,1,1,10.028921,370.015,5.912,36.95
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicc","-O3 -xHost",12288,24,128,1,1,7.839707,473.341,7.562,31.51
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicc","-O3 -xHost",15000,1,128,1,1,107.949478,62.529,1.000,100.00
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicc","-O3 -xHost",15000,2,128,1,1,56.685839,119.077,1.904,95.20
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicc","-O3 -xHost",15000,4,128,1,1,29.049242,232.364,3.716,92.90
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicc","-O3 -xHost",15000,8,128,1,1,17.632100,382.824,6.122,76.53
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicc","-O3 -xHost",15000,16,128,1,1,18.129001,372.332,5.955,37.22
"12th Gen Intel(R) Core(TM) i9-12900K","mpiicc","-O3 -xHost",15000,24,128,1,1,12.975616,520.206,8.319,34.66
